file,row_index,target_value,value_type,data_Marital status,data_Application mode,data_Application order,data_Course,data_Daytime/evening attendance	,data_Previous qualification,data_Previous qualification (grade),data_Nacionality,data_Mother's qualification,data_Father's qualification,data_Mother's occupation,data_Father's occupation,data_Admission grade,data_Displaced,data_Educational special needs,data_Debtor,data_Tuition fees up to date,data_Gender,data_Scholarship holder,data_Age at enrollment,data_International,data_Curricular units 1st sem (credited),data_Curricular units 1st sem (enrolled),data_Curricular units 1st sem (evaluations),data_Curricular units 1st sem (approved),data_Curricular units 1st sem (grade),data_Curricular units 1st sem (without evaluations),data_Curricular units 2nd sem (credited),data_Curricular units 2nd sem (enrolled),data_Curricular units 2nd sem (evaluations),data_Curricular units 2nd sem (approved),data_Curricular units 2nd sem (grade),data_Curricular units 2nd sem (without evaluations),data_Unemployment rate,data_Inflation rate,data_GDP,data_Target,data_First_Sem_Success_Rate,data_Second_Sem_Success_Rate
train_cleaned.csv,810,0.999999000001,float64,1,51,1.0,8378.5,1,1,110.0,1,19,38,9.0,10.0,110.0,0,0,0,1,1,0,34,0,0,10,12,10.5,14.454545454545457,0,0,10,11,10,14.2,0,11.1,0.6,2.02,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,903,0.999999000001,float64,1,43,1.0,9070.0,1,1,108.0,1,38,38,7.0,7.0,105.2,1,0,0,1,1,0,25,0,0,10,16,10.5,11.538461538461538,0,0,10,15,10,12.4,0,12.7,3.7,-1.7,Dropout,1.04999895000105,0.999999000001
train_cleaned.csv,951,0.999999000001,float64,1,44,1.0,8378.5,1,1,150.0,1,1,1,5.0,5.0,154.0,0,0,0,1,1,0,34,0,0,10,16,10.5,14.125,0,0,10,14,10,13.0,0,12.4,0.5,1.79,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,1088,0.999999000001,float64,1,51,1.0,9070.0,1,1,143.0,1,1,1,4.0,4.0,120.0,1,0,0,1,0,0,21,0,0,10,10,10.0,13.0,0,0,10,11,10,11.4,0,11.1,0.6,2.02,Dropout,0.999999000001,0.999999000001
train_cleaned.csv,1130,0.999999000001,float64,1,43,1.0,9991.0,1,1,130.0,1,37,37,9.0,9.0,130.0,0,0,0,1,0,0,34,0,0,10,11,10.0,14.3,0,0,10,10,10,14.2,0,12.7,3.7,-1.7,Graduate,0.999999000001,0.999999000001
train_cleaned.csv,1478,0.999999000001,float64,1,44,1.0,9130.0,1,1,150.0,1,2,1,3.0,6.0,150.0,1,0,0,1,1,0,22,0,0,10,16,10.5,12.857142857142858,0,0,10,15,10,14.3,0,16.2,0.3,-0.92,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,1486,0.999999000001,float64,1,1,1.0,8378.5,1,1,133.1,1,19,38,5.0,5.0,131.8,1,0,0,1,0,0,20,0,0,10,12,10.5,13.25,0,0,10,16,10,13.090909090909092,0,8.9,1.4,3.51,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,1566,0.999999000001,float64,1,42,1.0,9147.0,1,1,110.0,1,37,37,9.0,9.0,128.2,0,0,0,1,0,0,34,0,0,10,16,10.5,12.25,0,0,10,12,10,13.4,0,9.4,-0.8,-3.12,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,1701,0.999999000001,float64,1,7,1.0,9003.0,1,1,130.0,1,1,38,9.0,7.0,130.0,1,0,0,1,1,0,32,0,0,10,16,10.5,12.727272727272728,0,0,10,16,10,12.7,0,15.5,2.8,-4.06,Dropout,1.04999895000105,0.999999000001
train_cleaned.csv,2014,0.999999000001,float64,1,7,1.0,9147.0,1,1,130.0,1,37,19,9.0,8.0,130.0,0,0,0,1,0,0,21,0,0,9,9,9.0,10.88888888888889,0,0,10,16,10,11.615384615384617,0,10.8,1.4,1.74,Graduate,0.9999988888901234,0.999999000001
train_cleaned.csv,2193,0.999999000001,float64,1,53,1.0,9003.0,1,1,150.0,1,1,38,8.0,8.0,150.0,0,0,0,1,0,1,23,0,0,10,14,10.5,14.384615384615383,0,0,10,12,10,13.3,0,8.9,1.4,3.51,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,2366,0.999999000001,float64,1,7,1.0,9991.0,1,1,130.0,1,19,19,7.0,3.0,130.0,0,0,0,1,0,0,26,0,0,10,13,8.0,12.666666666666666,0,0,10,12,10,13.4,0,11.1,0.6,2.02,Graduate,0.7999992000008,0.999999000001
train_cleaned.csv,2420,0.999999000001,float64,1,7,1.0,8378.5,1,1,110.0,1,37,37,9.0,9.0,110.0,0,0,0,1,0,0,34,0,0,10,16,10.5,13.416666666666666,0,0,10,10,10,14.5,0,16.2,0.3,-0.92,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,2500,0.999999000001,float64,1,42,1.0,9853.0,1,1,141.0,1,37,19,9.0,3.0,133.0,0,0,0,1,0,0,20,0,0,10,16,10.5,12.153846153846152,0,0,10,16,10,12.9,0,10.8,1.4,1.74,Dropout,1.04999895000105,0.999999000001
train_cleaned.csv,2700,0.999999000001,float64,1,51,1.0,8378.5,1,1,140.0,1,19,37,16.5,16.5,138.0,1,0,0,1,0,1,21,0,0,10,13,10.5,12.727272727272728,0,0,10,11,10,12.6,0,8.9,1.4,3.51,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,2701,0.999999000001,float64,1,43,2.0,9147.0,1,1,130.0,1,34,37,9.0,9.0,118.5,1,0,0,1,1,0,23,0,0,10,16,8.0,11.625,0,0,10,16,10,11.181818181818182,0,7.6,2.6,0.32,Graduate,0.7999992000008,0.999999000001
train_cleaned.csv,2980,0.999999000001,float64,1,43,1.0,9991.0,1,1,102.5,1,37,37,9.0,9.0,128.2,0,0,0,1,1,0,34,0,0,10,13,9.0,12.2,0,0,10,12,10,12.8,0,7.6,2.6,0.32,Graduate,0.8999991000009,0.999999000001
train_cleaned.csv,3138,0.999999000001,float64,1,42,1.0,9991.0,1,1,150.0,1,19,19,5.0,5.0,113.7,0,0,0,1,1,0,30,0,0,10,15,10.5,11.461538461538462,0,0,10,15,10,11.583333333333334,0,16.2,0.3,-0.92,Graduate,1.04999895000105,0.999999000001
train_cleaned.csv,3411,0.999999000001,float64,1,39,1.0,9003.0,1,1,130.0,1,38,38,9.0,9.0,150.0,0,0,0,1,1,0,28,0,0,10,14,10.5,15.090909090909092,0,0,10,11,10,15.0,0,11.1,0.6,2.02,Dropout,1.04999895000105,0.999999000001
train_cleaned.csv,3534,0.999999000001,float64,1,43,1.0,9991.0,1,1,120.0,1,38,38,9.0,7.0,141.0,0,0,0,1,1,1,32,0,0,10,12,10.0,13.8,0,0,10,10,10,12.8,0,10.8,1.4,1.74,Graduate,0.999999000001,0.999999000001
train_cleaned.csv,3536,0.999999000001,float64,1,51,1.0,8378.5,1,1,133.1,1,37,37,9.0,9.0,104.0,0,0,0,1,0,0,34,0,0,10,14,10.0,11.9,0,0,10,14,10,12.8,0,11.1,0.6,2.02,Enrolled,0.999999000001,0.999999000001
train_cleaned.csv,1,0.0,float64,1,39,1.0,9130.0,1,1,133.1,1,1,1,16.5,1.0,120.0,1,0,0,1,1,0,34,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,12.7,3.7,-1.7,Dropout,0.0,0.0
train_cleaned.csv,6,0.0,float64,1,1,3.0,9670.0,1,1,134.0,1,14,11,0.0,0.0,128.4,1,0,0,1,1,0,19,0,0,5,5,0.0,7.401499999999999,0,0,4,4,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,7,0.0,float64,1,18,3.5,9853.0,1,1,118.0,1,19,37,9.0,6.0,111.4,1,0,0,1,0,0,20,0,0,7,9,0.0,7.401499999999999,0,0,6,6,0,6.9375,0,11.1,0.6,2.02,Dropout,0.0,0.0
train_cleaned.csv,8,0.0,float64,1,1,1.0,9238.0,1,1,133.1,1,19,37,0.0,0.0,137.0,1,0,0,1,0,0,19,0,0,6,10,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,17,0.0,float64,1,17,2.0,9254.0,1,1,107.0,1,12,19,5.0,5.0,102.8,1,0,0,1,0,0,20,0,0,6,16,1.0,10.0,0,0,6,12,0,6.9375,0,10.8,1.4,1.74,Dropout,0.1666663888893518,0.0
train_cleaned.csv,41,0.0,float64,1,7,1.0,9556.0,1,1,140.0,1,3,3,2.0,2.0,140.0,0,0,0,1,1,0,34,0,0,7,8,3.0,12.666666666666666,0,0,5,5,0,6.9375,0,13.9,-0.3,0.79,Dropout,0.4285708163274053,0.0
train_cleaned.csv,48,0.0,float64,1,39,2.0,9556.0,1,1,133.1,1,3,1,2.0,4.0,136.1,0,0,0,1,1,0,26,0,0,7,7,2.0,11.75,0,0,5,10,0,6.9375,0,12.4,0.5,1.79,Dropout,0.2857138775516035,0.0
train_cleaned.csv,52,0.0,float64,1,17,1.0,9147.0,1,1,139.0,1,38,38,7.0,5.0,133.4,0,0,0,1,0,0,18,0,0,5,9,1.0,11.0,0,0,5,10,0,6.9375,0,9.4,-0.8,-3.12,Enrolled,0.1999996000008,0.0
train_cleaned.csv,56,0.0,float64,1,39,1.0,8378.5,1,1,133.1,1,37,37,9.0,7.0,140.0,0,0,0,1,0,1,34,0,0,6,6,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,8.9,1.4,3.51,Dropout,0.0,0.0
train_cleaned.csv,59,0.0,float64,1,1,1.0,8378.5,1,1,140.0,1,19,19,1.0,1.0,129.5,1,0,0,1,1,0,20,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,10.8,1.4,1.74,Dropout,0.0,0.0
train_cleaned.csv,61,0.0,float64,1,1,1.0,8378.5,1,1,147.0,1,37,19,7.0,7.0,134.4,1,0,0,1,1,1,18,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,10.8,1.4,1.74,Graduate,0.0,0.0
train_cleaned.csv,64,0.0,float64,1,7,1.0,9085.0,1,1,130.0,1,1,19,9.0,10.0,130.0,0,0,0,1,0,0,34,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,15.5,2.8,-4.06,Dropout,0.0,0.0
train_cleaned.csv,68,0.0,float64,1,39,1.0,9238.0,1,1,133.1,1,37,37,9.0,9.0,139.0,0,0,0,1,1,0,33,0,0,6,8,0.0,7.401499999999999,0,0,5,6,0,6.9375,0,16.2,0.3,-0.92,Dropout,0.0,0.0
train_cleaned.csv,69,0.0,float64,1,18,1.0,9238.0,1,1,147.0,1,38,34,4.0,0.0,130.2,0,0,0,1,0,0,18,0,0,2,1,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,10.8,1.4,1.74,Dropout,0.0,0.0
train_cleaned.csv,83,0.0,float64,1,7,1.0,9147.0,1,1,150.0,1,6,27,1.0,7.0,150.0,0,0,0,1,0,0,26,0,0,5,5,0.0,7.401499999999999,0,0,5,0,0,6.9375,0,9.4,-0.8,-3.12,Dropout,0.0,0.0
train_cleaned.csv,84,0.0,float64,1,39,1.0,9085.0,1,1,133.1,1,38,38,4.0,7.0,128.2,0,0,0,1,0,0,31,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,12.7,3.7,-1.7,Dropout,0.0,0.0
train_cleaned.csv,87,0.0,float64,1,39,1.0,9670.0,1,1,133.1,1,1,1,16.5,3.0,107.0,1,0,0,1,1,0,30,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,90,0.0,float64,1,17,1.0,8378.5,1,1,145.0,1,37,19,5.0,9.0,130.0,1,0,0,1,0,0,23,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,11.1,0.6,2.02,Dropout,0.0,0.0
train_cleaned.csv,92,0.0,float64,1,39,1.0,9254.0,1,1,133.1,1,38,37,4.0,5.0,102.5,0,0,0,1,1,0,24,0,0,6,7,0.0,7.401499999999999,0,0,6,7,0,6.9375,0,16.2,0.3,-0.92,Dropout,0.0,0.0
train_cleaned.csv,94,0.0,float64,1,17,2.0,8378.5,1,1,141.0,1,19,37,9.0,9.0,136.1,1,0,0,1,0,1,18,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,12.7,3.7,-1.7,Enrolled,0.0,0.0
train_cleaned.csv,108,0.0,float64,1,39,1.0,9556.0,1,1,133.1,1,3,3,4.0,4.0,160.55,0,0,0,1,0,0,34,0,0,7,7,0.0,7.401499999999999,0,0,5,10,0,6.9375,0,12.4,0.5,1.79,Dropout,0.0,0.0
train_cleaned.csv,116,0.0,float64,1,39,1.0,9003.0,1,1,133.1,1,37,37,3.0,8.0,130.0,0,0,0,1,0,1,30,0,0,6,6,0.0,7.401499999999999,0,0,6,6,0,6.9375,0,11.1,0.6,2.02,Enrolled,0.0,0.0
train_cleaned.csv,122,0.0,float64,1,1,2.0,9147.0,1,1,120.0,1,1,37,4.0,9.0,113.4,1,0,0,1,1,1,19,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,11.1,0.6,2.02,Dropout,0.0,0.0
train_cleaned.csv,127,0.0,float64,1,51,1.0,9147.0,1,1,133.1,1,19,19,9.0,5.0,112.1,0,0,0,1,1,0,34,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,8.9,1.4,3.51,Dropout,0.0,0.0
train_cleaned.csv,131,0.0,float64,1,39,1.0,9670.0,1,1,148.0,1,19,19,7.0,7.0,130.9,0,0,0,1,1,0,24,0,0,6,12,0.0,7.401499999999999,0,0,6,9,0,6.9375,0,10.8,1.4,1.74,Dropout,0.0,0.0
train_cleaned.csv,146,0.0,float64,1,1,1.0,8378.5,1,1,162.5,1,19,19,8.0,8.0,160.55,1,0,0,1,0,1,19,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,11.1,0.6,2.02,Dropout,0.0,0.0
train_cleaned.csv,152,0.0,float64,1,17,1.0,9147.0,1,1,102.5,1,38,37,6.0,4.0,96.0,1,0,0,1,0,0,19,0,0,5,10,3.0,10.666666666666666,0,0,5,9,0,6.9375,0,16.2,0.3,-0.92,Dropout,0.5999988000024,0.0
train_cleaned.csv,160,0.0,float64,1,17,3.0,8378.5,1,1,115.0,1,19,1,5.0,16.5,115.0,0,0,0,1,0,0,24,0,0,5,5,0.0,7.401499999999999,0,0,5,10,0,6.9375,0,10.8,1.4,1.74,Dropout,0.0,0.0
train_cleaned.csv,161,0.0,float64,1,1,1.0,8378.5,1,1,162.5,1,19,37,9.0,7.0,160.55,1,0,0,1,0,1,18,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,12.4,0.5,1.79,Graduate,0.0,0.0
train_cleaned.csv,177,0.0,float64,1,1,3.0,9773.0,1,1,130.0,1,19,19,5.0,5.0,157.0,1,0,0,1,0,0,18,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,13.9,-0.3,0.79,Dropout,0.0,0.0
train_cleaned.csv,183,0.0,float64,1,16,2.0,8378.5,1,1,145.0,1,3,3,2.0,2.0,143.6,1,0,0,1,1,0,18,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,12.4,0.5,1.79,Graduate,0.0,0.0
train_cleaned.csv,199,0.0,float64,1,39,1.0,9238.0,1,1,133.1,1,37,37,9.0,4.0,103.5,0,0,0,1,1,0,34,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,15.5,2.8,-4.06,Dropout,0.0,0.0
train_cleaned.csv,200,0.0,float64,1,17,1.0,9238.0,1,1,103.0,1,19,37,7.0,9.0,104.1,0,0,0,1,0,0,20,0,0,6,6,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,8.9,1.4,3.51,Dropout,0.0,0.0
train_cleaned.csv,216,0.0,float64,1,1,3.5,9500.0,1,1,143.0,1,37,19,4.0,4.0,123.3,1,0,0,1,1,0,18,0,0,7,0,0.0,7.401499999999999,0,0,8,0,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,217,0.0,float64,1,1,1.0,8378.5,1,1,130.0,1,29,38,9.0,8.0,122.0,1,0,0,1,1,0,20,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,7.6,2.6,0.32,Graduate,0.0,0.0
train_cleaned.csv,227,0.0,float64,1,1,2.0,9119.0,1,1,140.0,1,19,19,9.0,9.0,125.7,1,0,0,1,1,0,18,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,9.4,-0.8,-3.12,Enrolled,0.0,0.0
train_cleaned.csv,229,0.0,float64,1,1,1.0,8378.5,1,1,156.0,1,19,38,9.0,1.0,153.6,1,0,0,1,0,0,18,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,9.4,-0.8,-3.12,Graduate,0.0,0.0
train_cleaned.csv,230,0.0,float64,1,17,3.5,9500.0,1,1,148.0,1,1,19,4.0,8.0,130.2,1,0,0,1,0,0,19,0,0,7,0,0.0,7.401499999999999,0,0,8,0,0,6.9375,0,12.4,0.5,1.79,Dropout,0.0,0.0
train_cleaned.csv,237,0.0,float64,1,43,1.0,9991.0,1,1,161.0,1,37,37,9.0,9.0,100.0,1,0,0,1,0,0,27,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,240,0.0,float64,1,17,3.0,9070.0,1,1,132.0,1,38,1,5.0,5.0,124.3,0,0,0,1,0,0,18,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,15.5,2.8,-4.06,Dropout,0.0,0.0
train_cleaned.csv,264,0.0,float64,1,17,1.0,8378.5,1,1,136.0,1,38,38,7.0,7.0,127.3,1,0,0,1,0,0,19,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,15.5,2.8,-4.06,Dropout,0.0,0.0
train_cleaned.csv,267,0.0,float64,1,7,1.0,9238.0,1,1,130.0,1,34,34,16.5,16.5,130.0,0,0,0,1,0,0,34,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,11.1,0.6,2.02,Dropout,0.0,0.0
train_cleaned.csv,270,0.0,float64,1,18,3.5,9254.0,1,1,119.0,1,37,37,9.0,9.0,113.1,1,0,0,1,1,0,22,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,15.5,2.8,-4.06,Dropout,0.0,0.0
train_cleaned.csv,278,0.0,float64,1,1,2.0,9853.0,1,1,133.0,1,19,37,4.0,9.0,130.2,1,0,0,1,0,0,19,0,0,6,6,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,12.7,3.7,-1.7,Dropout,0.0,0.0
train_cleaned.csv,291,0.0,float64,1,39,2.0,9670.0,1,1,150.0,1,34,34,0.0,0.0,107.0,1,0,0,1,1,0,26,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,296,0.0,float64,1,7,1.0,9556.0,1,1,160.0,1,38,19,9.0,9.0,160.0,0,0,0,1,1,0,34,0,0,7,16,1.0,12.0,0,0,7,13,0,6.9375,0,11.1,0.6,2.02,Dropout,0.1428569387758017,0.0
train_cleaned.csv,299,0.0,float64,1,16,1.0,8378.5,1,1,155.0,1,1,3,5.0,10.0,160.55,1,0,0,1,1,0,19,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,13.9,-0.3,0.79,Graduate,0.0,0.0
train_cleaned.csv,303,0.0,float64,1,1,1.0,9500.0,1,1,141.0,1,19,1,16.5,16.5,128.0,0,0,0,1,1,0,18,0,0,8,8,0.0,7.401499999999999,0,0,8,8,0,6.9375,0,10.8,1.4,1.74,Dropout,0.0,0.0
train_cleaned.csv,308,0.0,float64,1,39,2.0,9147.0,1,1,133.1,1,37,37,9.0,9.0,110.0,0,0,0,1,0,0,34,0,0,5,0,0.0,7.401499999999999,0,0,5,0,0,6.9375,0,9.4,-0.8,-3.12,Dropout,0.0,0.0
train_cleaned.csv,311,0.0,float64,1,39,1.0,9991.0,1,1,130.0,1,37,37,9.0,9.0,127.6,0,0,0,1,1,0,29,0,0,5,5,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,7.6,2.6,0.32,Enrolled,0.0,0.0
train_cleaned.csv,317,0.0,float64,1,7,1.0,9500.0,1,1,140.0,1,19,1,4.0,1.0,140.0,1,0,0,1,0,0,34,0,0,7,0,0.0,7.401499999999999,0,0,8,0,0,6.9375,0,12.4,0.5,1.79,Dropout,0.0,0.0
train_cleaned.csv,323,0.0,float64,1,17,3.0,9119.0,1,1,117.0,1,1,2,3.0,2.0,119.8,1,0,0,1,1,0,19,0,0,5,10,2.0,11.0,0,0,6,10,0,6.9375,0,11.1,0.6,2.02,Dropout,0.3999992000016,0.0
train_cleaned.csv,324,0.0,float64,1,1,3.0,9773.0,1,1,140.0,1,1,39,4.0,1.0,128.1,1,0,0,1,1,0,21,0,0,6,6,5.0,11.8,0,0,6,9,0,6.9375,0,16.2,0.3,-0.92,Dropout,0.8333319444467593,0.0
train_cleaned.csv,325,0.0,float64,1,7,2.0,9130.0,1,1,140.0,1,34,34,0.0,0.0,140.0,0,0,0,1,0,0,25,0,0,5,9,0.0,7.401499999999999,0,0,5,9,0,6.9375,0,10.8,1.4,1.74,Dropout,0.0,0.0
train_cleaned.csv,332,0.0,float64,1,39,1.0,9003.0,1,1,135.0,1,38,38,9.0,6.0,138.1,0,0,0,1,0,0,28,0,0,6,6,0.0,7.401499999999999,0,0,6,7,0,6.9375,0,8.9,1.4,3.51,Dropout,0.0,0.0
train_cleaned.csv,334,0.0,float64,1,1,3.5,9670.0,1,1,133.1,1,9,1,2.0,4.0,133.0,1,0,0,1,0,0,19,0,0,6,0,0.0,7.401499999999999,0,0,6,0,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,340,0.0,float64,1,39,1.0,9500.0,1,1,140.0,1,37,37,9.0,6.0,135.5,0,0,0,1,0,0,32,0,0,7,0,0.0,7.401499999999999,0,0,8,0,0,6.9375,0,13.9,-0.3,0.79,Dropout,0.0,0.0
train_cleaned.csv,347,0.0,float64,1,1,1.0,8378.5,1,1,151.0,1,3,3,2.0,5.0,160.55,1,0,0,1,0,1,19,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,13.9,-0.3,0.79,Graduate,0.0,0.0
train_cleaned.csv,351,0.0,float64,1,39,1.0,9003.0,1,1,133.1,1,19,1,9.0,1.0,130.0,0,0,0,1,1,0,29,0,0,6,16,0.0,7.401499999999999,0,0,6,8,0,6.9375,0,15.5,2.8,-4.06,Dropout,0.0,0.0
train_cleaned.csv,353,0.0,float64,1,1,3.0,8378.5,1,1,137.0,1,1,3,5.0,2.0,133.9,1,0,0,1,1,0,19,0,0,2,0,0.0,7.401499999999999,0,0,2,0,0,6.9375,0,12.7,3.7,-1.7,Graduate,0.0,0.0
train_cleaned.csv,367,0.0,float64,1,39,1.0,9500.0,1,1,133.1,1,1,1,4.0,10.0,100.8,0,0,0,1,1,0,24,0,0,7,16,0.0,7.401499999999999,0,0,7,7,0,6.9375,0,13.9,-0.3,0.79,Dropout,0.0,0.0
train_cleaned.csv,378,0.0,float64,1,43,3.5,9991.0,1,1,133.1,1,37,37,9.0,9.0,153.0,0,0,0,1,0,0,34,0,0,5,10,0.0,7.401499999999999,0,0,5,5,0,6.9375,0,7.6,2.6,0.32,Dropout,0.0,0.0
train_cleaned.csv,383,0.0,float64,1,17,1.0,9991.0,1,1,160.0,1,34,34,0.0,0.0,160.55,1,0,0,1,1,0,33,0,0,5,8,2.0,10.5,0,0,5,5,0,6.9375,0,7.6,2.6,0.32,Dropout,0.3999992000016,0.0
train_cleaned.csv,390,0.0,float64,1,1,1.0,9070.0,1,1,116.0,1,3,3,0.0,1.0,108.7,1,0,0,1,1,0,23,0,0,6,9,4.0,11.25,0,0,6,10,0,6.9375,0,7.6,2.6,0.32,Dropout,0.6666655555574075,0.0
